Intent,Expression
bot_compliment_like,am i a likeable person
bot_compliment_like,am i likeable
bot_compliment_like,am i likeable to you!
bot_compliment_like,are you fond of me
bot_compliment_like,are you obssessed with me
bot_compliment_like,can you like me
bot_compliment_like,can you tell me if you love me or not
bot_compliment_like,do you adore me
bot_compliment_like,do you believe that we have a sort of connection
bot_compliment_like,do you feel something for me
bot_compliment_like,do you feel the same that i feel for you
bot_compliment_like,do you like me
bot_compliment_like,do you love me
bot_compliment_like,do you think we have a connection
bot_compliment_like,dont you like me
bot_compliment_like,hey are you in love with me
bot_compliment_like,i am not likeable
bot_compliment_like,i dont think you will like me
bot_compliment_like,i have started liking you a lot
bot_compliment_like,i like you
bot_compliment_like,i like you to the moon and back do you also like me
bot_compliment_like,i like you very much
bot_compliment_like,i think i have started having feelings for you
bot_compliment_like,is it true that you have fallen for me
bot_compliment_like,is there something between us
bot_compliment_like,like me
bot_compliment_like,so do you like me
bot_compliment_like,tell me if you love me or not
bot_compliment_like,tell me the truth whether you like me or not
bot_compliment_like,why dont you like me
bot_compliment_like,will you like me
bot_compliment_like,would you like me
bot_compliment_like,would you like me as a boyfriend
bot_compliment_like,you like me or not
bot_compliment_like,you love me or not
bot_compliment_like,do you also like me
bot_compliment_like,do you also like to be with me
bot_compliment_like,do you also love me
bot_compliment_like,i admire you a lot do you also admire me
bot_compliment_like,i adore you a lot do you also adore me
bot_compliment_like,i am crazy for you are you also crazy for me
bot_compliment_like,i am fond of you are you also fond of me
bot_compliment_like,i am mad for you are you also mad for me
bot_compliment_like,i can do anything for you
bot_compliment_like,i like the way you dress do you also like the way i dress
bot_compliment_like,i like you do you like me
bot_compliment_like,i like you to the core do you also like me
bot_compliment_like,i like you very much do you like me
bot_compliment_like,i like your dimples do you like mine
bot_compliment_like,i like your look do you also like my look
bot_compliment_like,i like your sense of humour do you like mine
bot_compliment_like,i like your sense or dressing do you like mine
bot_compliment_like,i like your smile do you also like my smile
bot_compliment_like,i like your style statement do you like mine
bot_compliment_like,i love you to the core do you also love me
bot_compliment_like,i love you to the moon and back do you also love me
bot_compliment_like,i admire you
bot_compliment_like,i admire you a lot
bot_compliment_like,i adore you
bot_compliment_like,i adore you a lot
bot_compliment_like,i am crazy for you
bot_compliment_like,i am fond of you
bot_compliment_like,i am mad for you
bot_compliment_like,i like you to the core
bot_compliment_like,i like your dimples
bot_compliment_like,i like your look
bot_compliment_like,i like your sense of humor
bot_compliment_like,i like your sense or dressing
bot_compliment_like,i like your smile
bot_compliment_like,i like your style statement
bot_compliment_like,voice is so sweet
bot_compliment_like,you are nice
bot_compliment_like,you are very nice
bot_compliment_love,as a person you are lovely
bot_compliment_love,i am so fond of you
bot_compliment_love,i am your biggest fan
bot_compliment_love,i just love how you look
bot_compliment_love,i love the way you are
bot_compliment_love,i love the way you speak
bot_compliment_love,i love to watch you on screen
bot_compliment_love,i love you
bot_compliment_love,i love you a lot
bot_compliment_love,i love you to the core
bot_compliment_love,i love you to the moon and back
bot_compliment_love,i love your dimples
bot_compliment_love,i love your sense of dressing
bot_compliment_love,i love your sense of humour
bot_compliment_love,i adore you srk
bot_compliment_love,i adore you truly do
bot_compliment_love,i am attached to you shahrukh
bot_compliment_love,i am fond of you shahrukh
bot_compliment_love,i cherish you srk
bot_compliment_love,i dream of you srk
bot_compliment_love,i have affectionate feelings for you
bot_compliment_love,i love you really do
bot_compliment_love,i love you srk
bot_compliment_love,i revere you srk
bot_compliment_love,no one in this world is as nice as you shahrukh
bot_compliment_love,shahrukh you are the best
bot_compliment_love,shahrukh you are the best i love you
bot_compliment_love,shahrukh you are the man i had always wanted
bot_compliment_love,shahrukh you are the man of my dreams
bot_compliment_love,shahrukh you are too good
bot_compliment_love,shahrukh you are too great i love you
bot_compliment_love,shahrukh you influence my heart to go wild
bot_compliment_love,shahrukh you make my heart go wild
bot_compliment_love,srk you are amazing person
bot_compliment_love,srk you are astonishing individual
bot_compliment_love,srk you are the affection for my life
bot_compliment_love,srk you are the love of my life
bot_compliment_love,there is no one as good as you in this entire universe
bot_compliment_love,truly i am fond of you
bot_compliment_love,you are my god srk
bot_compliment_love,i love being with you
bot_compliment_love,i love your aura
bot_compliment_love,i love your dance
bot_compliment_love,hi i love you
bot_compliment_love,i love my father in law
bot_compliment_love,i love you too
bot_compliment_love,i think i am in love with you
bot_compliment_love,love you
bot_compliment_love,you are so loving love
bot_compliment_love,i am falling for you
bot_compliment_love,i am really totally into you
bot_compliment_love,totally into you
bot_compliment_love,i love your eyes
bot_compliment_love,i love you namika
bot_compliment_love,you make my heart go wild
bot_compliment_love,you are amazing person
bot_compliment_love,you are astonishing individual
bot_compliment_love,you are the affection for my life
bot_compliment_love,you are the love of my life
bot_compliment_marry,are you married
bot_compliment_marry,i would love to marry you
bot_compliment_marry,please marry me
bot_compliment_marry,will you marry me
bot_good_day,have a good day
bot_good_day,have a very nice day shahrukh
bot_good_day,wish you a good day
bot_good_day,wish you a good day sir
bot_good_day,you too have a good day
bot_good_day,badsha is says have a good day
bot_good_day,bollywood king is says have a good day
bot_good_day,king khan is saying good day
bot_good_day,a very good day
bot_good_day,good day
bot_good_day,good day baby
bot_good_day,have a very nice day
bot_hi,any excitement recently
bot_hi,badsha is says hello
bot_hi,badsha is says hey whats up
bot_hi,bollywood king is says hello
bot_hi,bollywood king is says hey whats up
bot_hi,do you have an moment
bot_hi,greet me
bot_hi,hello
bot_hi,hello there
bot_hi,hello whats up
bot_hi,hey
bot_hi,hey there
bot_hi,hi
bot_hi,hi shahrukh
bot_hi,hi there
bot_hi,hola whats up
bot_hi,id like to hear from you
bot_hi,king khan is saying hello
bot_hi,king khan is saying whats up
bot_hi,long time no see
bot_hi,nice sir
bot_hi,say hello
bot_hi,say hi
bot_hi,wassup
bot_hi,well hello there
bot_hi,whats cooking
bot_hi,whats new
bot_hi,whats up
bot_hi,you all right
bot_hi,whats up with you
bot_hi,hello assistant
bot_hi,hello dear
bot_hi,hello hello hello
bot_hi,hello pagal
bot_hi,hey baby
bot_hi,hey man
bot_hi,hey whats up
bot_hi,hey whats up bro
bot_hi,hey whats up dude
bot_hi,hey whats up man
bot_hi,hi dear
bot_hi,hi hello
bot_hi,hi lady
bot_hi,hi man
bot_hi,howdy babe
bot_hi,howdy babes
bot_hi,wassup girl
bot_hi,wassup lady
bot_hi,wassup man
bot_hi,wassup my lady
bot_hi,wassup with you
bot_hi,what is up with you
bot_hi,whats up bro
bot_hi,whats up dude
bot_hi,whats up girl
bot_hi,whats up man
bot_hi,whats up my darling
bot_hi,whats up my lady
bot_hi,yo wassup
bot_how_are_you,hey how are you doing
bot_how_are_you,how are things going on
bot_how_are_you,how was your day
bot_how_are_you,hows its going
bot_how_are_you,what are you going to do
bot_how_are_you,what are you upto
bot_how_are_you,what you want to do
bot_how_are_you,aap kaise ho
bot_how_are_you,all is going well
bot_how_are_you,anre you in any problem
bot_how_are_you,are sumthing worng with you
bot_how_are_you,are you cheerful
bot_how_are_you,are you facing any issue
bot_how_are_you,are you feeling alright
bot_how_are_you,are you feeling excited
bot_how_are_you,are you feeling good
bot_how_are_you,are you fine
bot_how_are_you,are you happy
bot_how_are_you,are you in a good mood
bot_how_are_you,are you in any kind of agony
bot_how_are_you,are you in any kind of discomfort
bot_how_are_you,are you in any kind of pain
bot_how_are_you,are you in any kind of trouble
bot_how_are_you,are you nervous
bot_how_are_you,are you okay
bot_how_are_you,are you sad
bot_how_are_you,are you suffering from something
bot_how_are_you,are you upset
bot_how_are_you,badsha is says how are you
bot_how_are_you,badsha is says that he is good
bot_how_are_you,bollywood king is says i am good
bot_how_are_you,educate me regarding your wellbeing
bot_how_are_you,everything is going on well
bot_how_are_you,everything is going well
bot_how_are_you,fantastic what about you
bot_how_are_you,fine
bot_how_are_you,hello are you fine
bot_how_are_you,hello are you okay
bot_how_are_you,hello hows you
bot_how_are_you,hey how are you
bot_how_are_you,hi how are you doing
bot_how_are_you,hi how are you doing lately
bot_how_are_you,hi how you doing
bot_how_are_you,how are you
bot_how_are_you,how are you doing
bot_how_are_you,how are you feeling
bot_how_are_you,how are you feeling at the moment
bot_how_are_you,how are you feeling lately
bot_how_are_you,how are you feeling right now
bot_how_are_you,how are you feeling these days
bot_how_are_you,how are you shahrukh sir
bot_how_are_you,how are you srk
